MAD,MAPE,RMSE,State,Test Type
187.27558732345358,24.411517363464526,228.93251941445368,RN,yhat obitosAcumulado
186.49559373545856,24.050890451789858,228.99956183887173,RN,yhat_lower obitosAcumulado
188.43625634318363,24.81518000610885,229.21149907123646,RN,yhat_upper obitosAcumulado
8848.231790592039,23.765486343364238,10277.503903961217,PB,yhat casosAcumulado
8831.250544617862,23.438113636435347,10311.590978909173,PB,yhat_lower casosAcumulado
8864.871845347707,24.08317669375255,10297.567367998356,PB,yhat_upper casosAcumulado
148.08466225369602,18.681210530848325,173.79896655212488,PB,yhat obitosAcumulado
147.4010941008551,18.397069612124866,175.21472711844612,PB,yhat_lower obitosAcumulado
149.1740248792966,19.020464762921765,173.4645787474426,PB,yhat_upper obitosAcumulado
7141.536825009369,14.047068846693604,8392.635476288351,PE,yhat casosAcumulado
6693.459086703808,13.047690503555575,7848.093845694828,PE,yhat_lower casosAcumulado
7666.79086693779,15.198493348121861,9038.744785261446,PE,yhat_upper casosAcumulado
602.0001819788087,14.322945819526197,695.1751850694664,PE,yhat obitosAcumulado
563.2417558104232,13.325943565943966,648.353678781335,PE,yhat_lower obitosAcumulado
642.2406963035609,15.353007343719394,744.7671675813177,PE,yhat_upper obitosAcumulado
6745.1944308064085,22.82552461091496,7907.426686145674,AL,yhat casosAcumulado
6733.291354312549,22.538002254948854,7983.429576622772,AL,yhat_lower casosAcumulado
6744.439155721552,23.05724648706867,7853.423084881412,AL,yhat_upper casosAcumulado
154.71344131132685,17.563009865246578,179.1622472499925,AL,yhat obitosAcumulado
149.88789945718625,16.90471929610452,174.29763381466262,AL,yhat_lower obitosAcumulado
160.33842053704552,18.323589225800013,185.54097996451674,AL,yhat_upper obitosAcumulado
5728.5529823931865,27.16177921442105,7003.32506475407,SE,yhat casosAcumulado
5940.943174294876,28.18320752299955,7209.495261756892,SE,yhat_lower casosAcumulado
5531.30553214829,26.23125539078266,6806.774541793742,SE,yhat_upper casosAcumulado
147.1870932892973,28.017080748993695,181.24189257318574,SE,yhat obitosAcumulado
149.33364289094402,28.170187076497122,185.12495315246485,SE,yhat_lower obitosAcumulado
145.55694049804856,27.973246549667707,177.644947424538,SE,yhat_upper obitosAcumulado
12806.316381711087,23.96105122049805,16413.512098769006,BA,yhat casosAcumulado
12918.059141284488,23.86250162632069,16727.025347954495,BA,yhat_lower casosAcumulado
12780.717771021047,24.27467158580669,16190.188574569554,BA,yhat_upper casosAcumulado
316.53043878095514,21.698245351587243,372.4389613209781,BA,yhat obitosAcumulado
309.8100452714949,21.05025229787853,368.29786231357065,BA,yhat_lower obitosAcumulado
322.6385054100319,22.289293988492734,377.1089783727957,BA,yhat_upper obitosAcumulado
9072.265675417122,27.134493591954612,11735.142561028119,MG,yhat casosAcumulado
9176.109359349073,27.1624641444427,11924.846924405854,MG,yhat_lower casosAcumulado
9023.364868319837,27.323231141268224,11568.296599423467,MG,yhat_upper casosAcumulado
